SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,Power,Colour,Stock,ALP,DAC
4573853,Z0UR_2000334071_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5624.17,5458.75
4573854,Z0UR_2000334072_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5706.67,5538.95
4573735,Z0UR_2000332167_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5995,5819.65
4573782,Z0UR_2000333377_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,6036.67,5859.75
4573783,Z0UR_2000333375_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,6119.17,5939.95
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,6107.5,5928.93
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,6149.17,5969.03
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,6231.67,6049.23
4573716,Z0UR_2000332492_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5882.5,5710.38
4573887,Z0UR_2000334104_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5924.17,5750.48
4573888,Z0UR_2000334105_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,6006.67,5830.68
